title;label
You Can Smell Hillary’s Fear;1
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO);1
Kerry to go to Paris in gesture of sympathy;0
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!';1
The Battle of New York: Why This Primary Matters;0
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On;1
‘Britain’s Schindler’ Dies at 106;0
Fact check: Trump and Clinton at the 'commander-in-chief' forum;0
Iran reportedly makes new push for uranium concessions in nuclear talks;0
With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign;0
Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse;0
Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO];1
10 Ways America Is Preparing for World War 3;1
Trump takes on Cruz, but lightly;0
How women lead differently;0
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters;1
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS;1
What's in that Iran bill that Obama doesn't like?;0
The 1 chart that explains everything you need to know about partisanship in America;0
The slippery slope to Trump’s proposed ban on Muslims;0
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J;1
Hillary Clinton Makes A Bipartisan Appeal on Staten Island;0
New Senate majority leader’s main goal for GOP: Don’t be scary;0
‘Inferno’ and the Overpopulation Myth;1
Anti-Trump forces seek last-ditch delegate revolt;0
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?;0
Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist;0
Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible);0
Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo;1
GOP insiders: Carly crushed it;0
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO];1
Why It’s Necessary To Relax Into A Stretch;1
Brexit Encourages UK to Trade With Non-EU States, Including Russia;1
2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?);1
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source;1
First Ever Hindu Woman Elected into Congress;1
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!;1
Ex-Assistant FBI Director: Clintons Are a Crime Family;1
Hillary Wants Aggressively Interventionist Foreign Policy;1
Both parties want to craft populist messages for 2016;0
First Take: Wall Street bids goodbye to June hike;0
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater;1
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists;1
With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’;0
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record;1
Obama makes the right call to tough it out in Afghanistan;0
Senate race rankings: Dems attack as GOP lays swing-state groundwork;0
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock;1
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed;1
American politics has reached peak polarization;0
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video);0
3 Effects of Substance Abuse on Individual, Family and Community;1
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops;1
New Comment Features have been Added;1
World's newspapers react to 'Hebdo' attack;0
Ying and Yang (the Gold and Silver Set-Up);1
Closed primaries, 'warped' democracy?;0
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors;1
Donald Trump: Hillary Clinton has 'caused tremendous death';0
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police;1
Biden makes another surprise political stop;0
Hillary Clinton's declining favorability numbers, in context;0
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee;1
Hillary Clinton: The criminal investigation keeps moving forward;0
Rubio’s parting shot at Trump;0
Loretta Lynch becomes first African-American woman AG.;0
Why it's funny Republicans are upset with Facebook: Column;0
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police;0
Is google and YouTube in the Hillary's purse?;1
Handicapping the Hispanic vote for 2016 GOPers;0
Truth Will Out Radio: The Laconia Incident;1
GOP establishment nightmare? Ted Cruz vs. Donald Trump;0
Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution;0
Should I Get Botox?;1
Jeb Bush Picks Up Endorsement From Lindsey Graham;0
2016 Republican race enters a new, volatile phase;0
‘Hands up, don’t shoot’ was built on a lie;0
Lavrov and Kerry discuss Syrian settlement;1
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed;1
Bernie Sanders' call for ouster of two convention co-chairs rejected;0
Five Reasons the New York Democratic Primary Felt Competitive;0
To get around Congress, Obama turns to city halls;0
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election;1
John Kerry: ISIS responsible for genocide;0
Mitt Romney's Re-Invention As Anti-Poverty Warrior;0
King: Fill the Supreme Court vacancy;0
Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too;0
Obama’s speech in Selma was an answer to those who question his love for America;0
Where Does Bernie Sanders Go From Here?;0
Exclusive: GOP campaigns plot revolt against RNC;0
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book;1
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video];1
Why Hillary Clinton, not Bernie Sanders, 'won' town hall;0
French police hunt two brothers accused of Charlie Hebdo terror attack;0
The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof);1
CNN: One voter can make a difference by voting repeatedly;1
Give Social Security recipients a CEO-style raise;0
Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate;0
Obama, sounding like his critics, admits no 'complete strategy' for Iraq;0
How Ted Cruz Became Ted Cruz;0
Newly Approved GM Potatoes Have Potential to Silence Human Genes;1
Accord reached after Sanders sues the DNC over suspended access to critical voter list;0
Why the latest Patriot Act reform won’t be enough to rein in the NSA;0
